"","species","parameter","Draw","Chain","estimate","par","plant","Yobs","Model","Hummingbird"
"34",1,"E[10]",1,1,0,"E",10,0,"N-mixture","Collared Inca"
"35",1,"E[10]",2,1,0.286046041243645,"E",10,0,"N-mixture","Collared Inca"
"36",1,"E[10]",3,1,0,"E",10,0,"N-mixture","Collared Inca"
"37",1,"E[10]",4,1,0,"E",10,0,"N-mixture","Collared Inca"
"38",1,"E[10]",5,1,0,"E",10,0,"N-mixture","Collared Inca"
"39",1,"E[49]",5,2,0,"E",8,0,"N-mixture","Collared Inca"
"40",1,"E[49]",6,2,0,"E",8,0,"N-mixture","Collared Inca"
"41",1,"beta1[1]",1,1,-0.110864563908544,"beta1",NA,NA,"N-mixture","Collared Inca"
"42",1,"beta1[1]",2,1,-0.144893152993083,"beta1",NA,NA,"N-mixture","Collared Inca"
"43",1,"beta1[1]",3,1,-0.0771305840511118,"beta1",NA,NA,"N-mixture","Collared Inca"
"44",1,"beta1[1]",4,1,-0.107529866551701,"beta1",NA,NA,"N-mixture","Collared Inca"
"45",1,"beta1[1]",5,1,-0.000747866010521122,"beta1",NA,NA,"N-mixture","Collared Inca"
"46",1,"beta1[1]",6,1,-0.0380854162737197,"beta1",NA,NA,"N-mixture","Collared Inca"
"47",1,"beta1[1]",7,1,-0.0127605015020103,"beta1",NA,NA,"N-mixture","Collared Inca"
"48",1,"beta1[1]",1,2,-0.149957518128458,"beta1",NA,NA,"N-mixture","Collared Inca"
"49",1,"beta1[1]",2,2,-0.107999087651496,"beta1",NA,NA,"N-mixture","Collared Inca"
"50",1,"beta1[1]",3,2,-0.0790251088890414,"beta1",NA,NA,"N-mixture","Collared Inca"
"51",1,"beta1[1]",4,2,-0.11811876491908,"beta1",NA,NA,"N-mixture","Collared Inca"
"52",1,"beta1[1]",5,2,-0.0737787836059751,"beta1",NA,NA,"N-mixture","Collared Inca"
"53",1,"E[27]",4,2,0,"E",17,0,"N-mixture","Collared Inca"
"54",1,"E[27]",5,2,0,"E",17,0,"N-mixture","Collared Inca"
"55",1,"E[27]",6,2,0,"E",17,0,"N-mixture","Collared Inca"
"56",1,"E[27]",7,2,0.470852310186591,"E",17,0,"N-mixture","Collared Inca"
"57",1,"E[49]",3,1,0,"E",8,0,"N-mixture","Collared Inca"
"58",1,"E[49]",4,1,0,"E",8,0,"N-mixture","Collared Inca"
"59",1,"E[49]",5,1,0,"E",8,0,"N-mixture","Collared Inca"
"60",1,"E[49]",6,1,0.177142692558291,"E",8,0,"N-mixture","Collared Inca"
"61",1,"E[49]",7,1,0,"E",8,0,"N-mixture","Collared Inca"
"62",1,"E[49]",1,2,0,"E",8,0,"N-mixture","Collared Inca"
"63",1,"E[49]",2,2,0.407910808247246,"E",8,0,"N-mixture","Collared Inca"
"64",1,"E[49]",3,2,0,"E",8,0,"N-mixture","Collared Inca"
"65",1,"E[49]",4,2,0,"E",8,0,"N-mixture","Collared Inca"
"66",1,"E[44]",1,1,0.31068307172612,"E",4,0,"N-mixture","Collared Inca"
"67",1,"E[44]",2,1,1.7823494128474,"E",4,0,"N-mixture","Collared Inca"
"68",1,"E[44]",3,1,0,"E",4,0,"N-mixture","Collared Inca"
"69",1,"E[44]",4,1,0,"E",4,0,"N-mixture","Collared Inca"
"70",1,"E[44]",5,1,0,"E",4,0,"N-mixture","Collared Inca"
"71",1,"E[44]",6,1,0.84454063784329,"E",4,0,"N-mixture","Collared Inca"
"72",1,"E[44]",7,1,0,"E",4,0,"N-mixture","Collared Inca"
"73",1,"E[44]",1,2,0,"E",4,0,"N-mixture","Collared Inca"
"74",1,"E[44]",2,2,0.407910808247246,"E",4,0,"N-mixture","Collared Inca"
"75",1,"E[44]",3,2,0,"E",4,0,"N-mixture","Collared Inca"
"76",1,"E[44]",4,2,0,"E",4,0,"N-mixture","Collared Inca"
"77",1,"E[44]",5,2,0.355415607009367,"E",4,0,"N-mixture","Collared Inca"
"78",1,"E[44]",6,2,0,"E",4,0,"N-mixture","Collared Inca"
"79",1,"E[44]",7,2,0,"E",4,0,"N-mixture","Collared Inca"
"80",1,"E[21]",1,1,0,"E",19,0,"N-mixture","Collared Inca"
"81",1,"E[21]",2,1,0.751465504421361,"E",19,0,"N-mixture","Collared Inca"
"82",1,"E[21]",3,1,0,"E",19,0,"N-mixture","Collared Inca"
"83",1,"E[21]",4,1,0,"E",19,0,"N-mixture","Collared Inca"
"84",1,"E[21]",5,1,0,"E",19,0,"N-mixture","Collared Inca"
"85",1,"detect[1]",1,1,0.578983517526061,"detect",NA,NA,"N-mixture","Collared Inca"
"86",1,"detect[1]",2,1,0.547347896247368,"detect",NA,NA,"N-mixture","Collared Inca"
"87",1,"detect[1]",3,1,0.933780381774881,"detect",NA,NA,"N-mixture","Collared Inca"
"88",1,"detect[1]",4,1,0.591540985581534,"detect",NA,NA,"N-mixture","Collared Inca"
"89",1,"detect[1]",5,1,0.86677284668721,"detect",NA,NA,"N-mixture","Collared Inca"
"90",1,"detect[1]",6,1,0.399080975213331,"detect",NA,NA,"N-mixture","Collared Inca"
"91",1,"detect[1]",7,1,0.623913366862497,"detect",NA,NA,"N-mixture","Collared Inca"
"92",1,"detect[1]",1,2,0.772017266208032,"detect",NA,NA,"N-mixture","Collared Inca"
"93",1,"detect[1]",2,2,0.699488663345295,"detect",NA,NA,"N-mixture","Collared Inca"
"94",1,"E[38]",5,1,0,"E",15,0,"N-mixture","Collared Inca"
"95",1,"E[38]",6,1,0,"E",15,0,"N-mixture","Collared Inca"
"96",1,"E[38]",7,1,0,"E",15,0,"N-mixture","Collared Inca"
"97",1,"E[38]",1,2,0,"E",15,0,"N-mixture","Collared Inca"
"98",1,"E[38]",2,2,0,"E",15,0,"N-mixture","Collared Inca"
"99",1,"E[38]",3,2,0,"E",15,0,"N-mixture","Collared Inca"
"100",1,"E[38]",4,2,0,"E",15,0,"N-mixture","Collared Inca"
"101",1,"E[38]",5,2,0,"E",15,0,"N-mixture","Collared Inca"
"102",1,"E[38]",6,2,0,"E",15,0,"N-mixture","Collared Inca"
"103",1,"E[38]",7,2,0,"E",15,0,"N-mixture","Collared Inca"
"104",1,"ynew[51]",1,1,2,"ynew",14,5,"N-mixture","Collared Inca"
"105",1,"ynew[51]",2,1,1,"ynew",14,5,"N-mixture","Collared Inca"
"106",1,"ynew[51]",3,1,5,"ynew",14,5,"N-mixture","Collared Inca"
"107",1,"ynew[51]",4,1,4,"ynew",14,5,"N-mixture","Collared Inca"
"108",1,"E[30]",3,2,0,"E",1,0,"N-mixture","Collared Inca"
"109",1,"E[30]",4,2,0,"E",1,0,"N-mixture","Collared Inca"
"110",1,"E[30]",5,2,1.50948890630197,"E",1,0,"N-mixture","Collared Inca"
"111",1,"E[30]",6,2,0,"E",1,0,"N-mixture","Collared Inca"
"112",1,"E[30]",7,2,0,"E",1,0,"N-mixture","Collared Inca"
"113",1,"ynew[44]",1,1,1,"ynew",4,0,"N-mixture","Collared Inca"
"114",1,"ynew[44]",2,1,2,"ynew",4,0,"N-mixture","Collared Inca"
"115",1,"ynew[44]",3,1,0,"ynew",4,0,"N-mixture","Collared Inca"
"116",1,"ynew[44]",4,1,0,"ynew",4,0,"N-mixture","Collared Inca"
"117",1,"ynew[44]",5,1,0,"ynew",4,0,"N-mixture","Collared Inca"
"118",1,"ynew[44]",6,1,1,"ynew",4,0,"N-mixture","Collared Inca"
"119",1,"ynew[44]",7,1,0,"ynew",4,0,"N-mixture","Collared Inca"
"120",1,"ynew[44]",1,2,0,"ynew",4,0,"N-mixture","Collared Inca"
"121",1,"ynew[44]",2,2,0,"ynew",4,0,"N-mixture","Collared Inca"
"122",1,"ynew[44]",3,2,0,"ynew",4,0,"N-mixture","Collared Inca"
"123",1,"ynew[44]",4,2,0,"ynew",4,0,"N-mixture","Collared Inca"
"124",1,"ynew[44]",5,2,0,"ynew",4,0,"N-mixture","Collared Inca"
"125",1,"ynew[44]",6,2,0,"ynew",4,0,"N-mixture","Collared Inca"
"126",1,"ynew[44]",7,2,0,"ynew",4,0,"N-mixture","Collared Inca"
"127",1,"E[56]",1,1,0.31068307172612,"E",18,0,"N-mixture","Collared Inca"
"128",1,"E[56]",2,1,0,"E",18,0,"N-mixture","Collared Inca"
"129",1,"E[56]",3,1,0,"E",18,0,"N-mixture","Collared Inca"
"130",1,"E[56]",4,1,0,"E",18,0,"N-mixture","Collared Inca"
"131",1,"E[56]",5,1,0,"E",18,0,"N-mixture","Collared Inca"
"132",1,"E[56]",6,1,0.177142692558291,"E",18,0,"N-mixture","Collared Inca"
"133",1,"E[56]",7,1,0.346350440191287,"E",18,0,"N-mixture","Collared Inca"
"134",1,"E[56]",1,2,0,"E",18,0,"N-mixture","Collared Inca"
"135",1,"E[56]",2,2,0,"E",18,0,"N-mixture","Collared Inca"
"136",1,"E[56]",3,2,0,"E",18,0,"N-mixture","Collared Inca"
"137",1,"E[56]",4,2,0,"E",18,0,"N-mixture","Collared Inca"
"138",1,"E[56]",5,2,0,"E",18,0,"N-mixture","Collared Inca"
"139",1,"E[56]",6,2,0,"E",18,0,"N-mixture","Collared Inca"
"140",1,"E[56]",7,2,0,"E",18,0,"N-mixture","Collared Inca"
"141",1,"E[33]",1,1,0,"E",5,0,"N-mixture","Collared Inca"
"142",1,"E[33]",2,1,1.7823494128474,"E",5,0,"N-mixture","Collared Inca"
"143",1,"E[33]",3,1,0,"E",5,0,"N-mixture","Collared Inca"
"144",1,"E[33]",4,1,0.320574987329814,"E",5,0,"N-mixture","Collared Inca"
"145",1,"E[33]",5,1,0,"E",5,0,"N-mixture","Collared Inca"
"146",1,"E[33]",6,1,0.84454063784329,"E",5,0,"N-mixture","Collared Inca"
"147",1,"E[33]",7,1,0,"E",5,0,"N-mixture","Collared Inca"
"148",1,"E[33]",1,2,0.468555478889112,"E",5,0,"N-mixture","Collared Inca"
"149",1,"E[33]",2,2,1.0306271344509,"E",5,0,"N-mixture","Collared Inca"
"150",1,"E[18]",5,1,0.0515254375814204,"E",7,3,"N-mixture","Collared Inca"
"151",1,"E[18]",6,1,0.939886527322232,"E",7,3,"N-mixture","Collared Inca"
"152",1,"E[18]",7,1,0.00394970683563158,"E",7,3,"N-mixture","Collared Inca"
"153",1,"E[18]",1,2,0.00216165297831815,"E",7,3,"N-mixture","Collared Inca"
"154",1,"E[18]",2,2,0.312785918399013,"E",7,3,"N-mixture","Collared Inca"
"155",1,"E[18]",3,2,0.0213113958872425,"E",7,3,"N-mixture","Collared Inca"
"156",1,"E[18]",4,2,0.00116380587184852,"E",7,3,"N-mixture","Collared Inca"
"157",1,"E[18]",5,2,0.497925840780027,"E",7,3,"N-mixture","Collared Inca"
"158",1,"E[18]",6,2,0.0417637944048285,"E",7,3,"N-mixture","Collared Inca"
"159",1,"E[18]",7,2,0.161712406225753,"E",7,3,"N-mixture","Collared Inca"
"160",1,"E[10]",6,1,0,"E",10,0,"N-mixture","Collared Inca"
"161",1,"E[10]",7,1,0.346350440191287,"E",10,0,"N-mixture","Collared Inca"
"162",1,"E[10]",1,2,0,"E",10,0,"N-mixture","Collared Inca"
"163",1,"E[10]",2,2,0,"E",10,0,"N-mixture","Collared Inca"
"164",1,"E[27]",1,1,0.808754110256028,"E",17,0,"N-mixture","Collared Inca"
"165",1,"E[27]",2,1,1.25875466028481,"E",17,0,"N-mixture","Collared Inca"
"166",1,"E[27]",3,1,0,"E",17,0,"N-mixture","Collared Inca"
"167",1,"E[27]",4,1,0,"E",17,0,"N-mixture","Collared Inca"
"168",1,"E[27]",5,1,0,"E",17,0,"N-mixture","Collared Inca"
"169",1,"E[27]",6,1,0.490741928539434,"E",17,0,"N-mixture","Collared Inca"
"170",1,"E[27]",7,1,0,"E",17,0,"N-mixture","Collared Inca"
"171",1,"E[27]",1,2,0.468555478889112,"E",17,0,"N-mixture","Collared Inca"
"172",1,"E[27]",2,2,0,"E",17,0,"N-mixture","Collared Inca"
"173",1,"E[27]",3,2,0,"E",17,0,"N-mixture","Collared Inca"
"174",1,"ynew[24]",6,1,0,"ynew",13,0,"N-mixture","Collared Inca"
"175",1,"ynew[24]",7,1,0,"ynew",13,0,"N-mixture","Collared Inca"
"176",1,"ynew[24]",1,2,0,"ynew",13,0,"N-mixture","Collared Inca"
"177",1,"ynew[24]",2,2,0,"ynew",13,0,"N-mixture","Collared Inca"
"178",1,"ynew[24]",3,2,0,"ynew",13,0,"N-mixture","Collared Inca"
"179",1,"ynew[24]",4,2,0,"ynew",13,0,"N-mixture","Collared Inca"
"180",1,"ynew[24]",5,2,0,"ynew",13,0,"N-mixture","Collared Inca"
"181",1,"ynew[24]",6,2,0,"ynew",13,0,"N-mixture","Collared Inca"
"182",1,"ynew[24]",7,2,0,"ynew",13,0,"N-mixture","Collared Inca"
"183",1,"ynew[49]",1,1,0,"ynew",8,0,"N-mixture","Collared Inca"
"184",1,"ynew[49]",2,1,0,"ynew",8,0,"N-mixture","Collared Inca"
"185",1,"ynew[49]",3,1,0,"ynew",8,0,"N-mixture","Collared Inca"
"186",1,"ynew[49]",4,1,0,"ynew",8,0,"N-mixture","Collared Inca"
"187",1,"ynew[49]",5,1,0,"ynew",8,0,"N-mixture","Collared Inca"
"188",1,"ynew[49]",6,1,0,"ynew",8,0,"N-mixture","Collared Inca"
"189",1,"ynew[49]",7,1,0,"ynew",8,0,"N-mixture","Collared Inca"
"190",1,"ynew[49]",1,2,0,"ynew",8,0,"N-mixture","Collared Inca"
"191",1,"ynew[49]",2,2,0,"ynew",8,0,"N-mixture","Collared Inca"
"192",1,"ynew[49]",3,2,0,"ynew",8,0,"N-mixture","Collared Inca"
"193",1,"ynew[49]",4,2,0,"ynew",8,0,"N-mixture","Collared Inca"
"194",1,"ynew[49]",5,2,0,"ynew",8,0,"N-mixture","Collared Inca"
"195",1,"ynew[49]",6,2,0,"ynew",8,0,"N-mixture","Collared Inca"
"196",1,"ynew[49]",7,2,0,"ynew",8,0,"N-mixture","Collared Inca"
"197",1,"ynew[33]",3,2,0,"ynew",5,0,"N-mixture","Collared Inca"
"198",1,"ynew[33]",4,2,0,"ynew",5,0,"N-mixture","Collared Inca"
"199",1,"ynew[33]",5,2,0,"ynew",5,0,"N-mixture","Collared Inca"
"200",1,"ynew[33]",6,2,0,"ynew",5,0,"N-mixture","Collared Inca"
"201",1,"ynew[33]",7,2,1,"ynew",5,0,"N-mixture","Collared Inca"
"202",1,"ynew[10]",1,1,0,"ynew",10,0,"N-mixture","Collared Inca"
"203",1,"ynew[10]",2,1,0,"ynew",10,0,"N-mixture","Collared Inca"
"204",1,"ynew[10]",3,1,0,"ynew",10,0,"N-mixture","Collared Inca"
"205",1,"ynew[10]",4,1,0,"ynew",10,0,"N-mixture","Collared Inca"
"206",1,"ynew[10]",5,1,0,"ynew",10,0,"N-mixture","Collared Inca"
"207",1,"ynew[10]",6,1,0,"ynew",10,0,"N-mixture","Collared Inca"
"208",1,"ynew[10]",7,1,0,"ynew",10,0,"N-mixture","Collared Inca"
"209",1,"ynew[10]",1,2,0,"ynew",10,0,"N-mixture","Collared Inca"
"210",1,"ynew[10]",2,2,0,"ynew",10,0,"N-mixture","Collared Inca"
"211",1,"E[38]",1,1,0,"E",15,0,"N-mixture","Collared Inca"
"212",1,"E[38]",2,1,0.286046041243645,"E",15,0,"N-mixture","Collared Inca"
"213",1,"E[38]",3,1,0,"E",15,0,"N-mixture","Collared Inca"
"214",1,"E[38]",4,1,0,"E",15,0,"N-mixture","Collared Inca"
"215",1,"ynew[10]",7,2,0,"ynew",10,0,"N-mixture","Collared Inca"
"216",1,"E[61]",5,1,0.0917975429318828,"E",17,5,"N-mixture","Collared Inca"
"217",1,"E[61]",6,1,1.47813832407771,"E",17,5,"N-mixture","Collared Inca"
"218",1,"E[61]",7,1,0.976920458298213,"E",17,5,"N-mixture","Collared Inca"
"219",1,"E[61]",1,2,0.298022349564691,"E",17,5,"N-mixture","Collared Inca"
"220",1,"E[61]",2,2,0.137306277239635,"E",17,5,"N-mixture","Collared Inca"
"221",1,"E[61]",3,2,0.0378578182390098,"E",17,5,"N-mixture","Collared Inca"
"222",1,"E[61]",4,2,0.00205952954339442,"E",17,5,"N-mixture","Collared Inca"
"223",1,"E[61]",5,2,0.905129418313326,"E",17,5,"N-mixture","Collared Inca"
"224",1,"E[61]",6,2,0.0743446941737658,"E",17,5,"N-mixture","Collared Inca"
"225",1,"E[61]",7,2,0.0240123142962517,"E",17,5,"N-mixture","Collared Inca"
"226",1,"ynew[27]",7,2,1,"ynew",17,0,"N-mixture","Collared Inca"
"227",1,"E[18]",1,1,0.713155641636293,"E",7,3,"N-mixture","Collared Inca"
"228",1,"E[18]",2,1,0.244325150027734,"E",7,3,"N-mixture","Collared Inca"
"229",1,"ynew[51]",5,1,5,"ynew",14,5,"N-mixture","Collared Inca"
"230",1,"ynew[51]",6,1,5,"ynew",14,5,"N-mixture","Collared Inca"
"231",1,"ynew[51]",7,1,1,"ynew",14,5,"N-mixture","Collared Inca"
"232",1,"ynew[51]",1,2,4,"ynew",14,5,"N-mixture","Collared Inca"
"233",1,"ynew[51]",2,2,4,"ynew",14,5,"N-mixture","Collared Inca"
"234",1,"ynew[51]",3,2,5,"ynew",14,5,"N-mixture","Collared Inca"
"235",1,"ynew[51]",4,2,5,"ynew",14,5,"N-mixture","Collared Inca"
"236",1,"ynew[51]",5,2,1,"ynew",14,5,"N-mixture","Collared Inca"
"237",1,"ynew[51]",6,2,3,"ynew",14,5,"N-mixture","Collared Inca"
"238",1,"ynew[51]",7,2,4,"ynew",14,5,"N-mixture","Collared Inca"
"239",1,"ynew[52]",1,1,1,"ynew",16,1,"N-mixture","Collared Inca"
"240",1,"ynew[52]",2,1,1,"ynew",16,1,"N-mixture","Collared Inca"
"241",1,"ynew[52]",3,1,1,"ynew",16,1,"N-mixture","Collared Inca"
"242",1,"ynew[52]",4,1,0,"ynew",16,1,"N-mixture","Collared Inca"
"243",1,"ynew[52]",5,1,0,"ynew",16,1,"N-mixture","Collared Inca"
"244",1,"ynew[52]",6,1,0,"ynew",16,1,"N-mixture","Collared Inca"
"245",1,"ynew[52]",7,1,1,"ynew",16,1,"N-mixture","Collared Inca"
"246",1,"ynew[52]",1,2,1,"ynew",16,1,"N-mixture","Collared Inca"
"247",1,"ynew[52]",2,2,2,"ynew",16,1,"N-mixture","Collared Inca"
"248",1,"ynew[52]",3,2,1,"ynew",16,1,"N-mixture","Collared Inca"
"249",1,"ynew[52]",4,2,1,"ynew",16,1,"N-mixture","Collared Inca"
"250",1,"ynew[52]",5,2,1,"ynew",16,1,"N-mixture","Collared Inca"
"251",1,"ynew[52]",6,2,1,"ynew",16,1,"N-mixture","Collared Inca"
"252",1,"ynew[52]",7,2,0,"ynew",16,1,"N-mixture","Collared Inca"
"253",1,"E[24]",3,2,0,"E",13,0,"N-mixture","Collared Inca"
"254",1,"E[24]",4,2,0,"E",13,0,"N-mixture","Collared Inca"
"255",1,"E[24]",5,2,0,"E",13,0,"N-mixture","Collared Inca"
"256",1,"E[24]",6,2,0,"E",13,0,"N-mixture","Collared Inca"
"257",1,"E[24]",7,2,0,"E",13,0,"N-mixture","Collared Inca"
"258",1,"ynew[38]",1,1,0,"ynew",15,0,"N-mixture","Collared Inca"
"259",1,"ynew[38]",2,1,1,"ynew",15,0,"N-mixture","Collared Inca"
"260",1,"ynew[38]",3,1,0,"ynew",15,0,"N-mixture","Collared Inca"
"261",1,"ynew[38]",4,1,0,"ynew",15,0,"N-mixture","Collared Inca"
"262",1,"ynew[38]",5,1,0,"ynew",15,0,"N-mixture","Collared Inca"
"263",1,"ynew[38]",6,1,0,"ynew",15,0,"N-mixture","Collared Inca"
"264",1,"ynew[38]",7,1,0,"ynew",15,0,"N-mixture","Collared Inca"
"265",1,"ynew[38]",1,2,0,"ynew",15,0,"N-mixture","Collared Inca"
"266",1,"ynew[38]",2,2,0,"ynew",15,0,"N-mixture","Collared Inca"
"267",1,"alpha[1]",6,2,0.88409917768609,"alpha",NA,NA,"N-mixture","Collared Inca"
"268",1,"alpha[1]",7,2,0.923191115735614,"alpha",NA,NA,"N-mixture","Collared Inca"
"269",1,"E[18]",3,1,0.0119543357695147,"E",7,3,"N-mixture","Collared Inca"
"270",1,"E[18]",4,1,0.660130899358514,"E",7,3,"N-mixture","Collared Inca"
"271",1,"ynew[38]",7,2,0,"ynew",15,0,"N-mixture","Collared Inca"
"272",1,"E[41]",5,1,0,"E",11,0,"N-mixture","Collared Inca"
"273",1,"E[41]",6,1,1.21558028098534,"E",11,0,"N-mixture","Collared Inca"
"274",1,"E[41]",7,1,0.346350440191287,"E",11,0,"N-mixture","Collared Inca"
"275",1,"E[41]",1,2,0,"E",11,0,"N-mixture","Collared Inca"
"276",1,"E[41]",2,2,0,"E",11,0,"N-mixture","Collared Inca"
"277",1,"E[58]",1,1,0,"E",6,0,"N-mixture","Collared Inca"
"278",1,"E[58]",2,1,0.751465504421361,"E",6,0,"N-mixture","Collared Inca"
"279",1,"E[58]",3,1,0,"E",6,0,"N-mixture","Collared Inca"
"280",1,"E[58]",4,1,0.320574987329814,"E",6,0,"N-mixture","Collared Inca"
"281",1,"E[58]",5,1,0,"E",6,0,"N-mixture","Collared Inca"
"282",1,"E[58]",6,1,1.59558901948873,"E",6,0,"N-mixture","Collared Inca"
"283",1,"E[58]",7,1,0.890861506666816,"E",6,0,"N-mixture","Collared Inca"
"284",1,"E[58]",1,2,0,"E",6,0,"N-mixture","Collared Inca"
"285",1,"E[10]",3,2,0,"E",10,0,"N-mixture","Collared Inca"
"286",1,"E[10]",4,2,0,"E",10,0,"N-mixture","Collared Inca"
"287",1,"E[10]",5,2,0,"E",10,0,"N-mixture","Collared Inca"
"288",1,"E[10]",6,2,0,"E",10,0,"N-mixture","Collared Inca"
"289",1,"E[10]",7,2,0,"E",10,0,"N-mixture","Collared Inca"
"290",1,"ynew[24]",1,1,0,"ynew",13,0,"N-mixture","Collared Inca"
"291",1,"ynew[24]",2,1,0,"ynew",13,0,"N-mixture","Collared Inca"
"292",1,"ynew[24]",3,1,0,"ynew",13,0,"N-mixture","Collared Inca"
"293",1,"ynew[24]",4,1,0,"ynew",13,0,"N-mixture","Collared Inca"
"294",1,"ynew[24]",5,1,0,"ynew",13,0,"N-mixture","Collared Inca"
"295",1,"alpha[1]",1,1,1.57209448269872,"alpha",NA,NA,"N-mixture","Collared Inca"
"296",1,"alpha[1]",2,1,2.45027082877697,"alpha",NA,NA,"N-mixture","Collared Inca"
"297",1,"alpha[1]",3,1,0.933655684500627,"alpha",NA,NA,"N-mixture","Collared Inca"
"298",1,"alpha[1]",4,1,1.26218209728697,"alpha",NA,NA,"N-mixture","Collared Inca"
"299",1,"alpha[1]",5,1,0.339131418392985,"alpha",NA,NA,"N-mixture","Collared Inca"
"300",1,"alpha[1]",6,1,1.5077440196846,"alpha",NA,NA,"N-mixture","Collared Inca"
"301",1,"alpha[1]",7,1,0.610363804037172,"alpha",NA,NA,"N-mixture","Collared Inca"
"302",1,"alpha[1]",1,2,1.84948794725841,"alpha",NA,NA,"N-mixture","Collared Inca"
"303",1,"alpha[1]",2,2,1.17451384574888,"alpha",NA,NA,"N-mixture","Collared Inca"
"304",1,"alpha[1]",3,2,0.822610129387116,"alpha",NA,NA,"N-mixture","Collared Inca"
"305",1,"alpha[1]",4,2,1.1099895214354,"alpha",NA,NA,"N-mixture","Collared Inca"
"306",1,"alpha[1]",5,2,0.464897959883709,"alpha",NA,NA,"N-mixture","Collared Inca"
"307",1,"ynew[61]",1,2,5,"ynew",17,5,"N-mixture","Collared Inca"
"308",1,"ynew[38]",3,2,0,"ynew",15,0,"N-mixture","Collared Inca"
"309",1,"ynew[33]",1,1,0,"ynew",5,0,"N-mixture","Collared Inca"
"310",1,"ynew[33]",2,1,1,"ynew",5,0,"N-mixture","Collared Inca"
"311",1,"ynew[33]",3,1,0,"ynew",5,0,"N-mixture","Collared Inca"
"312",1,"ynew[33]",4,1,0,"ynew",5,0,"N-mixture","Collared Inca"
"313",1,"ynew[33]",5,1,0,"ynew",5,0,"N-mixture","Collared Inca"
"314",1,"ynew[33]",6,1,1,"ynew",5,0,"N-mixture","Collared Inca"
"315",1,"ynew[33]",7,1,0,"ynew",5,0,"N-mixture","Collared Inca"
"316",1,"ynew[33]",1,2,0,"ynew",5,0,"N-mixture","Collared Inca"
"317",1,"ynew[33]",2,2,2,"ynew",5,0,"N-mixture","Collared Inca"
"318",1,"E[52]",5,1,0.0129864113285912,"E",16,1,"N-mixture","Collared Inca"
"319",1,"E[52]",6,1,0.401636431317968,"E",16,1,"N-mixture","Collared Inca"
"320",1,"E[52]",7,1,0.0351396902013874,"E",16,1,"N-mixture","Collared Inca"
"321",1,"E[52]",1,2,0.0408611803377509,"E",16,1,"N-mixture","Collared Inca"
"322",1,"E[52]",2,2,0.0838255965333633,"E",16,1,"N-mixture","Collared Inca"
